,Symbol,LTP,% Change,Open,High,Low,Qty.
130,NICSF,7.71,0.13,7.84,7.7,7.7,13265
131,NIFRA,190.0,-1.04,195.0,189.2,193.0,39357
132,NIL,696.6,-0.49,714.0,693.0,713.0,4201
133,NLBBL,827.0,-0.96,835.0,821.5,830.1,1442
134,NLG,450.0,-1.25,467.9,448.0,459.0,3801
135,NLIC,587.0,-0.68,600.0,580.1,598.0,24927
136,NLICL,569.0,-1.06,586.0,561.2,585.0,19165
137,NMB,239.0,-0.83,242.0,238.6,241.0,15835
138,NMB50,9.3,-3.02,9.4,9.3,9.4,1935
139,NMBHF1,9.15,-1.51,9.2,9.15,9.2,3000
140,NMBMF,680.0,-1.16,688.0,670.0,688.0,1772
141,NRIC,668.0,-4.43,710.0,667.0,710.0,52660
142,NRN,415.0,-5.03,444.0,411.0,444.0,4128
143,NSLB,733.0,-1.08,740.0,730.0,730.1,500
144,NTC,845.0,-1.17,864.9,840.1,855.0,19165
145,NUBL,938.0,-1.28,960.0,937.0,960.0,2318
146,NYADI,268.2,-2.86,276.5,266.6,272.0,1833
147,OHL,478.0,0.19,490.0,475.0,486.6,4102
148,PBD85,770.0,0.0,770.0,770.0,770.0,25
149,PBD88,831.0,0.12,831.0,831.0,831.0,25
150,PBLD84,870.0,0.0,870.0,870.0,870.0,50
151,PCBL,229.0,-0.35,230.5,225.0,229.0,44317
152,PCBLP,146.0,0.0,146.0,146.0,146.0,6885
153,PFL,325.0,-3.56,336.9,325.0,330.3,6158
154,PICL,351.0,-1.96,358.0,344.0,358.0,2413
155,PMHPL,178.8,-5.25,186.0,177.7,185.0,8227
156,PPCL,271.0,-4.58,289.6,271.0,280.0,14930
157,PPL,203.0,-1.93,209.0,202.0,207.0,12388
158,PROFL,263.0,-0.75,272.0,260.0,270.0,12251
159,PRVU,210.0,-1.41,216.9,210.0,216.9,35501
160,PSF,7.8,0.52,7.8,7.65,7.73,17075
161,RADHI,215.1,-2.45,221.0,215.0,217.0,4460
162,RBCL,12710.0,-2.23,13100.0,12710.0,13100.0,158
163,RBCLPO,10095.0,-0.39,10337.0,10095.0,10337.0,200
164,RFPL,211.1,-4.48,220.0,210.9,220.0,5507
165,RHGCL,206.0,-3.29,210.5,205.0,210.0,5084
166,RHPL,216.1,-3.27,223.4,216.0,220.1,23591
167,RIDI,458.0,-2.55,475.0,454.0,470.0,71691
168,RLFL,302.0,0.33,305.0,290.0,304.0,27355
169,RMF1,7.59,0.4,7.59,7.41,7.56,2800
170,RSDC,509.0,-1.17,525.0,503.0,525.0,4164
171,RULB,875.0,-1.38,904.9,873.0,898.0,1673
172,RURU,714.5,-3.46,729.0,711.5,726.2,2285
173,SABSL,985.0,-1.01,1012.9,980.0,1012.9,196
174,SADBL,285.1,-2.66,296.0,285.1,295.9,36103
175,SAHAS,450.0,-2.81,460.0,445.7,455.0,12907
176,SANIMA,255.0,-0.78,260.0,252.2,255.2,30760
177,SAPDBL,212.0,0.43,221.0,210.1,215.0,6461
178,SBCF,7.3,-2.67,7.35,7.3,7.35,10700
179,SBI,291.9,-0.38,298.7,285.0,298.7,7561
180,SBL,316.9,-0.03,321.0,315.0,315.0,24007
181,SBLD84,806.0,-1.37,806.0,800.9,800.9,175
182,SCB,415.0,-0.67,420.0,411.1,420.0,7408
183,SDLBSL,930.0,-1.8,965.0,929.0,965.0,353
184,SEF,8.21,0.37,8.21,8.05,8.05,4100
185,SFCL,242.0,-3.2,255.0,241.0,245.0,15726
186,SFMF,8.81,-1.23,8.89,8.81,8.89,20575
187,SGHC,216.7,-3.69,229.0,216.6,221.4,6541
188,SHEL,226.4,-0.79,229.0,219.0,226.0,4780
189,SHINE,305.3,-2.46,319.2,305.0,319.2,75804
190,SHIVM,621.6,-3.63,654.9,618.2,654.8,162115
191,SHL,206.0,-1.44,211.0,205.0,211.0,31869
192,SHPC,257.2,-2.32,265.0,256.0,264.9,34816
193,SICL,726.0,-1.63,751.0,724.0,730.0,6418
194,SIFC,300.0,-2.22,311.0,296.0,303.0,19252
195,SIGS2,8.07,-3.12,8.17,8.07,8.17,1600
196,SINDU,260.0,2.77,262.1,248.1,248.2,6600
197,SJCL,220.1,-2.13,228.0,219.5,225.0,6104
198,SLBBL,805.0,-2.42,826.0,800.1,811.0,3032
199,SLBSL,1225.0,-2.3,1304.2,1225.0,1278.8,188
200,SMATA,740.0,-2.0,740.4,738.0,740.4,340
201,SMB,1200.0,-0.99,1200.0,1200.0,1200.0,24
202,SMFBS,1450.0,-1.16,1496.0,1450.0,1495.0,254
203,SPC,390.0,-1.52,396.0,384.9,396.0,5255
204,SPDL,244.9,-3.2,254.0,240.0,253.0,11060
205,SPHL,302.9,-0.69,305.0,296.0,299.0,2710
206,SRBL,196.5,-0.76,200.0,196.1,196.7,20543
207,SSHL,171.0,-2.84,178.9,170.0,176.0,9722
208,STC,3540.0,-1.39,3550.0,3500.0,3535.0,619
209,SWBBL,1190.0,-1.82,1220.0,1185.0,1201.0,5433
210,SWMF,683.0,-3.39,709.0,683.0,695.0,3934
211,TPC,323.0,-3.58,343.0,323.0,330.0,1413
